"","quad","year","totCover","Species","propCover"
"979","A2",32,0,"BOGR",0
"1","B1",32,3357.94346587876,"BOGR",0.335794346587876
"2","B2",32,0.250488519668579,"BOGR",2.50488519668579e-05
"3","C1",32,2388.29157538297,"BOGR",0.238829157538297
"4","C2",32,44.2841317773495,"BOGR",0.00442841317773495
"5","D1",32,1833.44776523353,"BOGR",0.183344776523353
"6","E1",32,69.7781677442398,"BOGR",0.00697781677442398
"7","E2",32,2854.83824107589,"BOGR",0.285483824107589
"8","F1",32,160.591645452676,"BOGR",0.0160591645452676
"9","F2",32,2288.00136217067,"BOGR",0.228800136217067
"980","D2",32,0,"BOGR",0
"982","A2",33,0,"BOGR",0
"10","A3",33,28.4742037374841,"BOGR",0.00284742037374841
"11","A5",33,67.8656143656509,"BOGR",0.00678656143656509
"12","A7",33,2423.3706238924,"BOGR",0.24233706238924
"13","B1",33,4297.5323623015,"BOGR",0.42975323623015
"985","B2",33,0,"BOGR",0
"14","B3",33,62.0942208294085,"BOGR",0.00620942208294085
"15","B4",33,103.146935960959,"BOGR",0.0103146935960959
"16","B5",33,1192.66936250891,"BOGR",0.119266936250891
"17","C1",33,2402.33587720252,"BOGR",0.240233587720252
"18","C2",33,34.2194843605612,"BOGR",0.00342194843605612
"19","C3",33,3834.43633315201,"BOGR",0.383443633315201
"20","D1",33,1980.67383068157,"BOGR",0.198067383068157
"21","D3",33,3708.93429729716,"BOGR",0.370893429729716
"22","E1",33,24.9556074829568,"BOGR",0.00249556074829568
"23","E2",33,3126.84157468337,"BOGR",0.312684157468337
"989","E3",33,0,"BOGR",0
"24","F1",33,152.34296170839,"BOGR",0.015234296170839
"25","F2",33,2921.63229622328,"BOGR",0.292163229622328
"993","F4",33,0,"BOGR",0
"26","F5",33,1505.76948353495,"BOGR",0.150576948353495
"987","D2",33,0,"BOGR",0
"983","A4",33,0,"BOGR",0
"984","A6",33,0,"BOGR",0
"988","D4",33,0,"BOGR",0
"991","E5",33,0,"BOGR",0
"994","F6",33,0,"BOGR",0
"996","A2",34,0,"BOGR",0
"27","A3",34,14.9886692510303,"BOGR",0.00149886692510303
"28","A5",34,32.7759406467751,"BOGR",0.00327759406467751
"29","A7",34,2536.11609148903,"BOGR",0.253611609148903
"30","B1",34,3685.34310195859,"BOGR",0.368534310195859
"997","B2",34,0,"BOGR",0
"998","B3",34,0,"BOGR",0
"31","B4",34,126.146002444745,"BOGR",0.0126146002444745
"32","B5",34,1430.47902695045,"BOGR",0.143047902695045
"33","B6",34,2563.11789463309,"BOGR",0.256311789463309
"34","C1",34,2741.95067075672,"BOGR",0.274195067075672
"35","C2",34,117.148713971308,"BOGR",0.0117148713971308
"36","C3",34,2983.4799859397,"BOGR",0.29834799859397
"37","C5",34,1563.09179885982,"BOGR",0.156309179885982
"38","D1",34,1716.28778893383,"BOGR",0.171628778893383
"39","D3",34,2323.45870487131,"BOGR",0.232345870487131
"40","D5",34,285.148837639724,"BOGR",0.0285148837639724
"41","E1",34,45.5585638430901,"BOGR",0.00455585638430901
"42","E2",34,2410.1695892321,"BOGR",0.24101695892321
"1002","E3",34,0,"BOGR",0
"43","E6",34,1471.41320440231,"BOGR",0.147141320440231
"44","F1",34,149.026988177637,"BOGR",0.0149026988177637
"45","F2",34,2121.24420763673,"BOGR",0.212124420763673
"1006","F4",34,0,"BOGR",0
"46","F5",34,895.104413029055,"BOGR",0.0895104413029055
"1000","D2",34,0,"BOGR",0
"1001","D4",34,0,"BOGR",0
"1004","E5",34,0,"BOGR",0
"1007","F6",34,0,"BOGR",0
"47","A1",35,1024.20832800314,"BOGR",0.102420832800314
"48","A11",35,205.348725432585,"BOGR",0.0205348725432585
"49","A12",35,628.630551916513,"BOGR",0.0628630551916513
"1009","A2",35,0,"BOGR",0
"50","A3",35,3.54280676672154,"BOGR",0.000354280676672154
"51","A5",35,36.7283704980794,"BOGR",0.00367283704980794
"52","A7",35,636.269526478547,"BOGR",0.0636269526478547
"53","B1",35,555.185921636835,"BOGR",0.0555185921636835
"1014","B2",35,0,"BOGR",0
"1015","B3",35,0,"BOGR",0
"54","B4",35,47.3955286270446,"BOGR",0.00473955286270446
"55","B5",35,433.617068035089,"BOGR",0.0433617068035089
"56","B6",35,839.476497893978,"BOGR",0.0839476497893978
"57","C1",35,1057.97910028285,"BOGR",0.105797910028285
"58","C2",35,18.6964172963024,"BOGR",0.00186964172963024
"59","C3",35,1524.97251769965,"BOGR",0.152497251769965
"60","C4",35,723.614491265221,"BOGR",0.0723614491265221
"61","C5",35,566.45882948529,"BOGR",0.056645882948529
"62","C6",35,1000.9226781333,"BOGR",0.10009226781333
"63","D1",35,380.369393981096,"BOGR",0.0380369393981096
"64","D3",35,1154.91499101473,"BOGR",0.115491499101473
"65","D5",35,158.622198782853,"BOGR",0.0158622198782853
"66","E1",35,24.2357361086683,"BOGR",0.00242357361086683
"67","E2",35,669.003931641567,"BOGR",0.0669003931641567
"1018","E3",35,0,"BOGR",0
"68","E4",35,620.062918725342,"BOGR",0.0620062918725342
"69","E6",35,511.57774538509,"BOGR",0.051157774538509
"70","F1",35,99.4923132379129,"BOGR",0.00994923132379129
"71","F2",35,766.506176943118,"BOGR",0.0766506176943118
"72","F3",35,392.919383559203,"BOGR",0.0392919383559203
"1021","F4",35,0,"BOGR",0
"73","F5",35,1385.53553988752,"BOGR",0.138553553988752
